timestamp,frame,target_id,range_m,angle_deg,radial_velocity_mps,rcs_dbsm,is_static,target_class,track_quality,age,is_clutter,is_multipath
1752719983.691,15,3,80.02,7.97,0.02,8.48,True,static_object,1.0,16,False,False
1752719983.691,15,4,26.16,-9.82,-8.8,15.09,False,vehicle,1.0,16,False,False
1752719983.691,15,clutter_15_0,4.99,9.41,0.0,-12.94,True,clutter,0.1,0,True,False
1752719983.791,16,0,15.01,-20.1,-0.06,12.42,True,static_object,1.0,17,False,False
1752719983.791,16,1,30.04,10.02,0.01,18.77,True,static_object,1.0,17,False,False
1752719983.791,16,2,50.03,-0.05,-0.21,25.14,True,static_object,1.0,17,False,False
1752719983.791,16,3,79.98,8.04,0.01,8.25,True,static_object,1.0,17,False,False
1752719983.791,16,4,25.24,-9.64,-8.73,15.18,False,vehicle,1.0,17,False,False
1752719983.791,16,5,68.09,5.43,4.98,5.64,False,bicycle,1.0,17,False,False
1752719983.791,16,clutter_16_1,9.52,39.58,0.0,-6.61,True,clutter,0.1,0,True,False
1752719983.891,17,0,15.05,-20.07,0.07,11.41,True,static_object,1.0,18,False,False
1752719983.891,17,4,24.39,-9.66,-8.75,14.53,False,vehicle,1.0,18,False,False
1752719983.991,18,1,30.15,10.08,0.21,18.37,True,static_object,1.0,19,False,False
1752719983.991,18,2,50.1,-0.02,-0.03,25.01,True,static_object,1.0,19,False,False
1752719983.991,18,4,23.62,-9.7,-8.52,15.03,False,vehicle,1.0,19,False,False
1752719984.091,19,2,50.09,0.0,-0.13,24.58,True,static_object,1.0,20,False,False
1752719984.091,19,3,79.97,8.07,0.26,7.92,True,static_object,1.0,20,False,False
1752719984.091,19,4,22.65,-9.65,-8.48,15.46,False,vehicle,1.0,20,False,False
1752719984.191,20,1,30.15,9.89,-0.13,17.3,True,static_object,1.0,21,False,False
1752719984.191,20,2,49.88,-0.05,-0.18,25.34,True,static_object,1.0,21,False,False
1752719984.191,20,clutter_20_0,2.78,-25.1,0.0,-13.21,True,clutter,0.1,0,True,False
1752719984.291,21,1,29.96,9.96,0.1,17.17,True,static_object,1.0,22,False,False
1752719984.291,21,3,79.96,8.24,-0.12,7.73,True,static_object,1.0,22,False,False
1752719984.291,21,clutter_21_0,6.49,-57.76,0.0,-10.8,True,clutter,0.1,0,True,False
1752719984.391,22,2,49.94,0.06,0.01,24.77,True,static_object,1.0,23,False,False
1752719984.391,22,5,71.06,5.44,4.29,5.13,False,bicycle,1.0,23,False,False
1752719984.391,22,clutter_22_1,9.07,-25.53,0.0,-12.26,True,clutter,0.1,0,True,False
1752719984.391,22,multipath_22_0,29.96,-13.4,0.0,8.53,True,multipath,0.3,0,False,True
1752719984.491,23,0,15.12,-19.84,0.29,12.19,True,static_object,1.0,24,False,False
1752719984.491,23,2,50.04,-0.12,-0.14,25.43,True,static_object,1.0,24,False,False
1752719984.491,23,5,71.37,5.52,4.22,5.25,False,bicycle,1.0,24,False,False
1752719984.491,23,clutter_23_1,5.56,17.07,0.0,-7.08,True,clutter,0.1,0,True,False
1752719984.591,24,0,14.77,-20.12,0.03,12.39,True,static_object,1.0,25,False,False
1752719984.591,24,2,50.03,-0.02,0.12,24.96,True,static_object,1.0,25,False,False
1752719984.591,24,3,80.09,8.0,-0.03,9.01,True,static_object,1.0,25,False,False
1752719984.591,24,4,18.53,-9.6,-8.45,14.62,False,vehicle,1.0,25,False,False
1752719984.591,24,clutter_24_0,4.06,35.54,0.0,-7.01,True,clutter,0.1,0,True,False
1752719984.591,24,multipath_24_1,82.36,4.1,0.0,-0.81,True,multipath,0.3,0,False,True
1752719984.691,25,0,15.0,-19.96,0.02,12.22,True,static_object,1.0,26,False,False
1752719984.691,25,2,50.05,0.02,-0.08,24.5,True,static_object,1.0,26,False,False
1752719984.691,25,5,72.12,5.71,3.82,5.28,False,bicycle,1.0,26,False,False
1752719984.691,25,clutter_25_0,5.36,-2.44,0.0,-10.2,True,clutter,0.1,0,True,False
1752719984.791,26,0,14.91,-20.11,0.0,11.92,True,static_object,1.0,27,False,False
1752719984.791,26,2,49.9,0.1,0.29,25.45,True,static_object,1.0,27,False,False
1752719984.791,26,3,80.13,8.21,0.11,7.85,True,static_object,1.0,27,False,False
1752719984.791,26,multipath_26_0,81.49,2.92,0.0,-1.8,True,multipath,0.3,0,False,True
1752719984.891,27,0,15.09,-19.86,0.06,11.94,True,static_object,1.0,28,False,False
1752719984.891,27,1,30.16,10.07,-0.1,18.7,True,static_object,1.0,28,False,False
1752719984.891,27,2,49.99,0.12,0.09,25.01,True,static_object,1.0,28,False,False
1752719984.891,27,5,72.69,5.87,3.99,4.74,False,bicycle,1.0,28,False,False
1752719984.891,27,clutter_27_0,5.78,11.84,0.0,-13.67,True,clutter,0.1,0,True,False
1752719984.891,27,clutter_27_1,9.19,46.66,0.0,-11.43,True,clutter,0.1,0,True,False
1752719984.991,28,1,29.93,9.96,0.01,17.7,True,static_object,1.0,29,False,False
1752719984.991,28,2,50.08,-0.14,0.14,24.7,True,static_object,1.0,29,False,False
1752719984.991,28,4,14.95,-9.41,-8.85,15.9,False,vehicle,1.0,29,False,False
1752719984.991,28,5,73.18,5.89,4.0,5.51,False,bicycle,1.0,29,False,False
1752719985.091,29,1,29.84,10.06,0.25,17.93,True,static_object,1.0,30,False,False
1752719985.091,29,3,79.95,7.87,0.01,7.76,True,static_object,1.0,30,False,False
1752719985.091,29,4,14.14,-9.54,-8.84,15.21,False,vehicle,1.0,30,False,False
1752719985.091,29,multipath_29_0,26.36,-11.19,0.0,7.26,True,multipath,0.3,0,False,True
1752719985.191,30,1,30.12,10.19,-0.04,18.33,True,static_object,1.0,31,False,False
1752719985.191,30,2,50.0,0.13,-0.01,25.3,True,static_object,1.0,31,False,False
1752719985.191,30,4,13.29,-9.27,-9.02,15.5,False,vehicle,1.0,31,False,False
1752719985.191,30,5,74.08,6.07,3.87,5.61,False,bicycle,1.0,31,False,False
1752719985.291,31,1,29.98,9.9,-0.09,17.64,True,static_object,1.0,32,False,False
1752719985.291,31,2,49.77,0.06,0.15,24.8,True,static_object,1.0,32,False,False
1752719985.291,31,4,12.21,-9.18,-9.32,15.43,False,vehicle,1.0,32,False,False
1752719985.291,31,clutter_31_0,2.42,41.21,0.0,-12.41,True,clutter,0.1,0,True,False
1752719985.291,31,clutter_31_1,9.53,-43.07,0.0,-8.89,True,clutter,0.1,0,True,False
1752719985.391,32,1,30.12,10.03,-0.07,17.72,True,static_object,1.0,33,False,False
1752719985.391,32,2,50.17,-0.18,0.05,25.14,True,static_object,1.0,33,False,False
1752719985.391,32,3,79.92,8.07,0.05,8.28,True,static_object,1.0,33,False,False
1752719985.391,32,4,11.16,-9.32,-9.42,15.57,False,vehicle,1.0,33,False,False
1752719985.391,32,multipath_32_0,81.73,9.52,0.0,-0.47,True,multipath,0.3,0,False,True
1752719985.491,33,1,29.99,9.99,-0.13,18.29,True,static_object,1.0,34,False,False
1752719985.491,33,2,49.94,-0.22,-0.05,25.5,True,static_object,1.0,34,False,False
1752719985.491,33,4,10.57,-9.23,-9.7,14.62,False,vehicle,1.0,34,False,False
1752719985.591,34,1,29.96,9.94,-0.12,18.39,True,static_object,1.0,35,False,False
1752719985.591,34,4,9.33,-9.29,-10.0,14.56,False,vehicle,1.0,35,False,False
1752719985.691,35,0,14.89,-20.1,0.08,11.63,True,static_object,1.0,36,False,False
1752719985.691,35,2,50.0,-0.16,0.05,24.93,True,static_object,1.0,36,False,False
1752719985.691,35,4,8.25,-9.01,-10.31,16.24,False,vehicle,1.0,36,False,False
1752719985.691,35,clutter_35_0,9.25,-46.85,0.0,-6.82,True,clutter,0.1,0,True,False
1752719985.691,35,multipath_35_0,90.65,10.73,0.0,-3.89,True,multipath,0.3,0,False,True
1752719985.791,36,1,30.03,10.04,0.0,18.28,True,static_object,1.0,37,False,False
1752719985.791,36,2,49.93,-0.01,0.0,24.64,True,static_object,1.0,37,False,False
1752719985.791,36,4,7.33,-9.17,-10.46,14.24,False,vehicle,1.0,37,False,False
1752719985.791,36,clutter_36_1,9.88,-51.97,0.0,-6.93,True,clutter,0.1,0,True,False
1752719985.791,36,multipath_36_0,21.87,-9.19,0.0,8.26,True,multipath,0.3,0,False,True
1752719985.791,36,multipath_36_1,81.96,9.41,0.0,-3.62,True,multipath,0.3,0,False,True
1752719985.891,37,0,14.99,-19.92,0.16,11.23,True,static_object,1.0,38,False,False
1752719985.891,37,1,30.02,9.89,-0.02,17.85,True,static_object,1.0,38,False,False
1752719985.891,37,3,79.94,8.11,0.24,7.24,True,static_object,1.0,38,False,False
1752719985.891,37,5,76.51,6.58,3.54,4.75,False,bicycle,1.0,38,False,False
1752719985.891,37,clutter_37_0,4.71,4.79,0.0,-12.97,True,clutter,0.1,0,True,False
1752719985.891,37,clutter_37_1,3.83,-55.62,0.0,-13.55,True,clutter,0.1,0,True,False
1752719985.991,38,0,15.08,-19.98,-0.2,12.58,True,static_object,1.0,39,False,False
1752719985.991,38,2,50.05,0.15,0.2,25.23,True,static_object,1.0,39,False,False
1752719985.991,38,3,79.92,7.89,0.22,8.23,True,static_object,1.0,39,False,False
1752719985.991,38,4,5.19,-8.98,-10.67,15.78,False,vehicle,1.0,39,False,False
1752719986.091,39,0,14.8,-20.12,0.14,11.31,True,static_object,1.0,40,False,False
1752719986.091,39,1,30.04,10.08,0.1,18.84,True,static_object,1.0,40,False,False
1752719986.091,39,2,49.92,-0.04,-0.2,26.1,True,static_object,1.0,40,False,False
1752719986.091,39,clutter_39_1,9.95,-50.82,0.0,-9.01,True,clutter,0.1,0,True,False
1752719986.191,40,0,14.94,-20.03,0.04,11.78,True,static_object,1.0,41,False,False
1752719986.191,40,1,29.93,9.96,-0.05,18.2,True,static_object,1.0,41,False,False
1752719986.191,40,4,3.12,-9.14,-11.03,15.46,False,vehicle,1.0,41,False,False
1752719986.191,40,clutter_40_0,4.83,-17.78,0.0,-5.79,True,clutter,0.1,0,True,False
1752719986.291,41,0,14.9,-20.04,0.22,11.79,True,static_object,1.0,42,False,False
1752719986.291,41,1,29.93,9.86,-0.02,17.86,True,static_object,1.0,42,False,False
1752719986.291,41,3,79.96,7.83,0.04,7.87,True,static_object,1.0,42,False,False
1752719986.291,41,4,1.97,-9.07,-10.74,14.32,False,vehicle,1.0,42,False,False
1752719986.291,41,5,77.98,6.49,3.85,4.57,False,bicycle,1.0,42,False,False
1752719986.391,42,0,15.13,-19.98,-0.01,12.17,True,static_object,1.0,43,False,False
1752719986.391,42,1,30.19,10.09,-0.06,18.18,True,static_object,1.0,43,False,False
1752719986.391,42,2,49.97,0.02,0.07,25.25,True,static_object,1.0,43,False,False
1752719986.391,42,3,80.05,8.11,0.05,9.7,True,static_object,1.0,43,False,False
1752719986.391,42,multipath_42_0,84.89,1.73,0.0,-2.27,True,multipath,0.3,0,False,True
1752719986.491,43,1,29.84,10.03,0.14,17.62,True,static_object,1.0,44,False,False
1752719986.491,43,2,49.99,-0.11,-0.15,24.44,True,static_object,1.0,44,False,False
1752719986.491,43,4,0.23,-8.96,-11.19,15.02,False,vehicle,1.0,44,False,False
1752719986.491,43,5,78.68,6.68,4.11,4.32,False,bicycle,1.0,44,False,False
1752719986.491,43,multipath_43_0,8.3,-4.21,0.0,7.1,True,multipath,0.3,0,False,True
1752719986.591,44,0,14.96,-20.06,0.19,11.64,True,static_object,1.0,45,False,False
1752719986.591,44,1,29.87,9.96,-0.07,18.33,True,static_object,1.0,45,False,False
1752719986.591,44,3,79.88,8.12,0.07,7.55,True,static_object,1.0,45,False,False
1752719986.591,44,4,0.2,-8.8,-11.34,14.89,False,vehicle,1.0,45,False,False
1752719986.591,44,clutter_44_0,9.77,51.38,0.0,-12.79,True,clutter,0.1,0,True,False
1752719986.691,45,0,14.88,-19.93,0.02,11.82,True,static_object,1.0,46,False,False
1752719986.691,45,1,29.9,10.05,0.13,18.43,True,static_object,1.0,46,False,False
1752719986.691,45,2,49.94,0.2,-0.02,24.91,True,static_object,1.0,46,False,False
1752719986.691,45,3,79.92,7.93,-0.02,8.54,True,static_object,1.0,46,False,False
1752719986.691,45,4,0.25,-8.67,-11.41,14.25,False,vehicle,1.0,46,False,False
1752719986.791,46,2,49.95,0.13,-0.12,24.9,True,static_object,1.0,47,False,False
1752719986.791,46,multipath_46_0,91.61,4.98,0.0,-3.6,True,multipath,0.3,0,False,True
1752719986.891,47,0,15.1,-19.97,-0.13,12.73,True,static_object,1.0,48,False,False
1752719986.891,47,1,29.88,9.92,0.12,18.59,True,static_object,1.0,48,False,False
1752719986.891,47,2,50.22,0.01,-0.08,24.52,True,static_object,1.0,48,False,False
1752719986.891,47,3,79.95,8.05,-0.01,8.88,True,static_object,1.0,48,False,False
1752719986.891,47,clutter_47_0,2.71,-33.22,0.0,-14.64,True,clutter,0.1,0,True,False
1752719986.991,48,1,30.01,10.02,-0.01,18.03,True,static_object,1.0,49,False,False
1752719986.991,48,3,80.0,7.84,0.19,7.58,True,static_object,1.0,49,False,False
1752719986.991,48,clutter_48_1,3.0,-14.29,0.0,-14.21,True,clutter,0.1,0,True,False
1752719987.091,49,1,30.06,10.15,-0.05,19.25,True,static_object,1.0,50,False,False
1752719987.091,49,2,49.92,0.01,0.06,24.59,True,static_object,1.0,50,False,False
1752719987.091,49,5,81.48,7.22,3.84,3.84,False,bicycle,1.0,50,False,False
1752719987.191,50,1,29.91,10.13,0.17,17.61,True,static_object,1.0,51,False,False
1752719987.191,50,clutter_50_0,3.88,-57.41,0.0,-11.23,True,clutter,0.1,0,True,False
1752719987.191,50,clutter_50_1,2.7,-55.57,0.0,-5.03,True,clutter,0.1,0,True,False
1752719987.191,50,multipath_50_0,12.53,-4.41,0.0,5.08,True,multipath,0.3,0,False,True
1752719987.291,51,0,14.95,-19.88,0.13,11.96,True,static_object,1.0,52,False,False
1752719987.291,51,1,29.83,10.11,0.08,18.22,True,static_object,1.0,52,False,False
1752719987.291,51,2,50.14,0.12,0.1,24.81,True,static_object,1.0,52,False,False
1752719987.291,51,5,82.12,7.24,3.89,4.58,False,bicycle,1.0,52,False,False
1752719987.291,51,clutter_51_1,9.37,-16.23,0.0,-9.71,True,clutter,0.1,0,True,False
1752719987.391,52,1,29.87,10.11,-0.1,18.42,True,static_object,1.0,53,False,False
1752719987.391,52,2,50.04,-0.05,-0.08,25.23,True,static_object,1.0,53,False,False
1752719987.391,52,4,0.31,-8.22,-13.23,15.65,False,vehicle,1.0,53,False,False
1752719987.391,52,multipath_52_0,8.29,-8.28,0.0,8.56,True,multipath,0.3,0,False,True
1752719987.491,53,1,30.19,9.8,-0.06,17.85,True,static_object,1.0,54,False,False
1752719987.491,53,5,83.03,7.41,3.57,4.22,False,bicycle,1.0,54,False,False
1752719987.691,55,0,15.03,-20.02,0.07,12.23,True,static_object,1.0,56,False,False
1752719987.691,55,1,30.16,9.85,-0.11,17.84,True,static_object,1.0,56,False,False
1752719987.691,55,2,49.94,-0.04,0.12,25.06,True,static_object,1.0,56,False,False
1752719987.691,55,4,0.22,-7.85,-14.3,14.44,False,vehicle,1.0,56,False,False
1752719987.791,56,1,30.04,10.0,0.17,18.17,True,static_object,1.0,57,False,False
1752719987.791,56,2,50.05,-0.0,-0.09,24.81,True,static_object,1.0,57,False,False
1752719987.791,56,4,0.2,-7.96,-14.39,15.6,False,vehicle,1.0,57,False,False
1752719987.791,56,5,83.92,7.45,3.13,5.48,False,bicycle,1.0,57,False,False
1752719987.791,56,clutter_56_1,4.07,-16.26,0.0,-8.98,True,clutter,0.1,0,True,False
1752719987.791,56,multipath_56_0,89.91,2.35,0.0,-3.69,True,multipath,0.3,0,False,True
1752719987.891,57,0,15.03,-20.06,0.01,11.82,True,static_object,1.0,58,False,False
1752719987.891,57,1,30.16,9.99,-0.03,18.19,True,static_object,1.0,58,False,False
1752719987.891,57,2,50.28,-0.2,0.05,24.5,True,static_object,1.0,58,False,False
1752719987.891,57,5,84.11,7.36,3.07,4.62,False,bicycle,1.0,58,False,False
1752719987.991,58,1,29.99,10.09,0.15,18.87,True,static_object,1.0,59,False,False
1752719987.991,58,2,50.01,-0.02,-0.05,25.14,True,static_object,1.0,59,False,False
1752719987.991,58,3,79.95,8.1,-0.02,8.37,True,static_object,1.0,59,False,False
1752719988.091,59,0,14.79,-19.97,0.07,11.91,True,static_object,1.0,60,False,False
1752719988.091,59,2,49.84,0.06,0.01,24.91,True,static_object,1.0,60,False,False
1752719988.091,59,3,79.94,8.12,0.04,8.15,True,static_object,1.0,60,False,False
1752719988.091,59,clutter_59_1,9.29,-12.7,0.0,-6.35,True,clutter,0.1,0,True,False
1752719988.191,60,0,15.18,-19.95,0.06,11.82,True,static_object,1.0,61,False,False
1752719988.191,60,2,49.86,0.09,-0.03,24.53,True,static_object,1.0,61,False,False
1752719988.191,60,3,79.88,7.99,-0.04,7.27,True,static_object,1.0,61,False,False
1752719988.191,60,clutter_60_1,4.23,-5.55,0.0,-13.19,True,clutter,0.1,0,True,False
1752719988.291,61,2,50.03,-0.11,-0.01,25.32,True,static_object,1.0,62,False,False
1752719988.291,61,3,79.97,8.07,0.13,7.56,True,static_object,1.0,62,False,False
1752719988.291,61,4,0.2,-7.34,-15.92,15.56,False,vehicle,1.0,62,False,False
1752719988.291,61,clutter_61_1,9.1,43.58,0.0,-11.72,True,clutter,0.1,0,True,False
1752719988.391,62,0,14.97,-19.95,-0.21,12.54,True,static_object,1.0,63,False,False
1752719988.391,62,1,29.86,10.06,-0.11,17.83,True,static_object,1.0,63,False,False
1752719988.391,62,2,50.09,-0.05,-0.02,24.78,True,static_object,1.0,63,False,False
1752719988.391,62,4,0.25,-7.26,-16.37,15.23,False,vehicle,1.0,63,False,False
1752719988.491,63,0,15.16,-19.92,-0.03,12.29,True,static_object,1.0,64,False,False
1752719988.491,63,1,30.04,10.05,0.02,18.27,True,static_object,1.0,64,False,False
1752719988.491,63,2,50.1,0.03,-0.04,24.4,True,static_object,1.0,64,False,False
1752719988.491,63,5,85.58,7.39,2.07,4.17,False,bicycle,1.0,64,False,False
1752719988.591,64,0,15.01,-19.99,-0.07,12.42,True,static_object,1.0,65,False,False
1752719988.591,64,2,50.05,0.04,-0.13,24.92,True,static_object,1.0,65,False,False
1752719988.591,64,3,80.08,7.98,0.03,7.65,True,static_object,1.0,65,False,False
1752719988.591,64,4,0.39,-7.15,-16.98,15.5,False,vehicle,1.0,65,False,False
1752719988.691,65,1,29.86,10.02,-0.01,18.37,True,static_object,1.0,66,False,False
1752719988.691,65,2,49.9,0.16,-0.02,25.31,True,static_object,1.0,66,False,False
1752719988.691,65,4,0.23,-6.92,-17.43,13.9,False,vehicle,1.0,66,False,False
1752719988.691,65,clutter_65_0,3.86,-47.83,0.0,-13.26,True,clutter,0.1,0,True,False
1752719988.791,66,0,15.09,-19.89,0.05,11.41,True,static_object,1.0,67,False,False
1752719988.791,66,1,30.09,9.81,0.02,18.15,True,static_object,1.0,67,False,False
1752719988.791,66,clutter_66_0,8.16,-24.97,0.0,-12.62,True,clutter,0.1,0,True,False
1752719988.791,66,multipath_66_1,93.83,3.78,0.0,-1.13,True,multipath,0.3,0,False,True
1752719988.891,67,1,30.12,10.03,-0.02,17.59,True,static_object,1.0,68,False,False
1752719988.891,67,2,49.9,0.08,0.07,25.03,True,static_object,1.0,68,False,False
1752719988.891,67,4,0.27,-6.87,-18.07,14.93,False,vehicle,1.0,68,False,False
1752719988.891,67,clutter_67_0,4.15,-14.56,0.0,-8.62,True,clutter,0.1,0,True,False
1752719988.891,67,clutter_67_1,8.98,-35.33,0.0,-9.54,True,clutter,0.1,0,True,False
1752719988.991,68,1,29.88,10.04,-0.16,18.15,True,static_object,1.0,69,False,False
1752719988.991,68,2,49.91,0.04,0.15,24.92,True,static_object,1.0,69,False,False
1752719988.991,68,3,79.76,7.97,0.12,8.07,True,static_object,1.0,69,False,False
1752719988.991,68,4,0.2,-6.83,-18.33,15.38,False,vehicle,1.0,69,False,False
1752719988.991,68,clutter_68_0,7.73,49.57,0.0,-9.74,True,clutter,0.1,0,True,False
1752719989.091,69,0,15.01,-19.87,-0.14,12.12,True,static_object,1.0,70,False,False
1752719989.091,69,1,30.04,10.03,0.15,17.39,True,static_object,1.0,70,False,False
1752719989.091,69,4,0.28,-6.67,-18.74,15.0,False,vehicle,1.0,70,False,False
1752719989.191,70,0,15.14,-20.07,-0.04,12.55,True,static_object,1.0,71,False,False
1752719989.191,70,1,29.97,9.98,0.02,17.24,True,static_object,1.0,71,False,False
1752719989.191,70,2,49.97,-0.04,-0.12,24.81,True,static_object,1.0,71,False,False
1752719989.191,70,3,80.08,8.19,0.02,8.04,True,static_object,1.0,71,False,False
1752719989.191,70,4,0.26,-6.46,-19.25,15.04,False,vehicle,1.0,71,False,False
1752719989.291,71,0,15.06,-20.03,0.06,12.81,True,static_object,1.0,72,False,False
1752719989.291,71,1,30.05,9.84,-0.02,18.25,True,static_object,1.0,72,False,False
1752719989.291,71,2,49.92,0.06,-0.04,24.81,True,static_object,1.0,72,False,False
1752719989.291,71,3,79.94,8.08,0.25,8.45,True,static_object,1.0,72,False,False
1752719989.291,71,4,0.22,-6.45,-19.94,14.87,False,vehicle,1.0,72,False,False
1752719989.391,72,3,80.1,8.13,-0.09,7.3,True,static_object,1.0,73,False,False
1752719989.391,72,4,0.2,-6.55,-20.07,15.01,False,vehicle,1.0,73,False,False
1752719989.391,72,5,86.09,7.73,-0.9,4.97,False,bicycle,1.0,73,False,False
1752719989.391,72,multipath_72_0,7.04,-3.04,0.0,7.47,True,multipath,0.3,0,False,True
1752719989.491,73,1,29.93,10.0,-0.1,18.78,True,static_object,1.0,74,False,False
1752719989.491,73,4,0.27,-6.46,-20.21,16.14,False,vehicle,1.0,74,False,False
1752719989.591,74,0,15.06,-19.94,-0.05,12.6,True,static_object,1.0,75,False,False
1752719989.591,74,1,29.88,10.12,-0.03,18.34,True,static_object,1.0,75,False,False
1752719989.591,74,4,0.27,-6.18,-20.65,14.31,False,vehicle,1.0,75,False,False
1752719989.591,74,multipath_74_0,95.41,8.61,0.0,-4.83,True,multipath,0.3,0,False,True
1752719989.691,75,0,15.06,-20.18,0.13,11.81,True,static_object,1.0,76,False,False
